,Name,Population,Area,Denisty
0,Afghanistan,"38,928,346","652,860",60
1,Albania,"2,877,797","27,400",105
2,Algeria,"43,851,044","2,381,740",18
3,Andorra,"77,265",470,164
4,Angola,"32,866,272","1,246,700",26
5,Antigua and Barbuda,"97,929",440,223
6,Argentina,"45,195,774","2,736,690",17
7,Armenia,"2,963,243","28,470",104
8,Australia,"25,499,884","7,682,300",3
9,Austria,"9,006,398","82,409",109
10,Azerbaijan,"10,139,177","82,658",123
11,Bahamas,"393,244","10,010",39
12,Bahrain,"1,701,575",760,"2,239"
13,Bangladesh,"164,689,383","130,170","1,265"
14,Barbados,"287,375",430,668
15,Belarus,"9,449,323","202,910",47
16,Belgium,"11,589,623","30,280",383
17,Belize,"397,628","22,810",17
18,Benin,"12,123,200","112,760",108
19,Bhutan,"771,608","38,117",20
20,Bolivia,"11,673,021","1,083,300",11
21,Bosnia and Herzegovina,"3,280,819","51,000",64
22,Botswana,"2,351,627","566,730",4
23,Brazil,"212,559,417","8,358,140",25
24,Brunei ,"437,479","5,270",83
25,Bulgaria,"6,948,445","108,560",64
26,Burkina Faso,"20,903,273","273,600",76
27,Burundi,"11,890,784","25,680",463
28,C̫te d'Ivoire,"26,378,274","318,000",83
29,Cabo Verde,"555,987","4,030",138
30,Cambodia,"16,718,965","176,520",95
31,Cameroon,"26,545,863","472,710",56
32,Canada,"37,742,154","9,093,510",4
33,Central African Republic,"4,829,767","622,980",8
34,Chad,"16,425,864","1,259,200",13
35,Chile,"19,116,201","743,532",26
36,China,"1,439,323,776","9,388,211",153
37,Colombia,"50,882,891","1,109,500",46
38,Comoros,"869,601","1,861",467
39,Congo (Congo-Brazzaville),"5,518,087","341,500",16
40,Costa Rica,"5,094,118","51,060",100
41,Croatia,"4,105,267","55,960",73
42,Cuba,"11,326,616","106,440",106
43,Cyprus,"1,207,359","9,240",131
44,Czechia (Czech Republic),"10,708,981","77,240",139
45,Democratic Republic of the Congo,"89,561,403","2,267,050",40
46,Denmark,"5,792,202","42,430",137
47,Djibouti,"988,000","23,180",43
48,Dominica,"71,986",750,96
49,Dominican Republic,"10,847,910","48,320",225
50,Ecuador,"17,643,054","248,360",71
51,Egypt,"102,334,404","995,450",103
52,El Salvador,"6,486,205","20,720",313
53,Equatorial Guinea,"1,402,985","28,050",50
54,Eritrea,"3,546,421","101,000",35
55,Estonia,"1,326,535","42,390",31
56,"Eswatini (fmr. ""Swaziland"")","1,160,164","17,200",67
57,Ethiopia,"114,963,588","1,000,000",115
58,Fiji,"896,445","18,270",49
59,Finland,"5,540,720","303,890",18
60,France,"65,273,511","547,557",119
61,Gabon,"2,225,734","257,670",9
62,Gambia,"2,416,668","10,120",239
63,Georgia,"3,989,167","69,490",57
64,Germany,"83,783,942","348,560",240
65,Ghana,"31,072,940","227,540",137
66,Greece,"10,423,054","128,900",81
67,Grenada,"112,523",340,331
68,Guatemala,"17,915,568","107,160",167
69,Guinea,"13,132,795","245,720",53
70,Guinea-Bissau,"1,968,001","28,120",70
71,Guyana,"786,552","196,850",4
72,Haiti,"11,402,528","27,560",414
73,Holy See,801,0,"2,003"
74,Honduras,"9,904,607","111,890",89
75,Hungary,"9,660,351","90,530",107
76,Iceland,"341,243","100,250",3
77,India,"1,380,004,385","2,973,190",464
78,Indonesia,"273,523,615","1,811,570",151
79,Iran,"83,992,949","1,628,550",52
80,Iraq,"40,222,493","434,320",93
81,Ireland,"4,937,786","68,890",72
82,Israel,"8,655,535","21,640",400
83,Italy,"60,461,826","294,140",206
84,Jamaica,"2,961,167","10,830",273
85,Japan,"126,476,461","364,555",347
86,Jordan,"10,203,134","88,780",115
87,Kazakhstan,"18,776,707","2,699,700",7
88,Kenya,"53,771,296","569,140",94
89,Kiribati,"119,449",810,147
90,Kuwait,"4,270,571","17,820",240
91,Kyrgyzstan,"6,524,195","191,800",34
92,Laos,"7,275,560","230,800",32
93,Latvia,"1,886,198","62,200",30
94,Lebanon,"6,825,445","10,230",667
95,Lesotho,"2,142,249","30,360",71
96,Liberia,"5,057,681","96,320",53
97,Libya,"6,871,292","1,759,540",4
98,Liechtenstein,"38,128",160,238
99,Lithuania,"2,722,289","62,674",43
100,Luxembourg,"625,978","2,590",242
101,Madagascar,"27,691,018","581,795",48
102,Malawi,"19,129,952","94,280",203
103,Malaysia,"32,365,999","328,550",99
104,Maldives,"540,544",300,"1,802"
105,Mali,"20,250,833","1,220,190",17
106,Malta,"441,543",320,"1,380"
107,Marshall Islands,"59,190",180,329
108,Mauritania,"4,649,658","1,030,700",5
109,Mauritius,"1,271,768","2,030",626
110,Mexico,"128,932,753","1,943,950",66
111,Micronesia,"548,914",700,784
112,Moldova,"4,033,963","32,850",123
113,Monaco,"39,242",1,"26,337"
114,Mongolia,"3,278,290","1,553,560",2
115,Montenegro,"628,066","13,450",47
116,Morocco,"36,910,560","446,300",83
117,Mozambique,"31,255,435","786,380",40
118,Myanmar (formerly Burma),"54,409,800","653,290",83
119,Namibia,"2,540,905","823,290",3
120,Nauru,"10,824",20,541
121,Nepal,"29,136,808","143,350",203
122,Netherlands,"17,134,872","33,720",508
123,New Zealand,"4,822,233","263,310",18
124,Nicaragua,"6,624,554","120,340",55
125,Niger,"24,206,644","1,266,700",19
126,Nigeria,"206,139,589","910,770",226
127,North Korea,"25,778,816","120,410",214
128,North Macedonia,"2,083,374","25,220",83
129,Norway,"5,421,241","365,268",15
130,Oman,"5,106,626","309,500",16
131,Pakistan,"220,892,340","770,880",287
132,Palau,"18,094",460,39
133,Palestine State,"5,101,414","6,020",847
134,Panama,"4,314,767","74,340",58
135,Papua New Guinea,"8,947,024","452,860",20
136,Paraguay,"7,132,538","397,300",18
137,Peru,"32,971,854","1,280,000",26
138,Philippines,"109,581,078","298,170",368
139,Poland,"37,846,611","306,230",124
140,Portugal,"10,196,709","91,590",111
141,Qatar,"2,881,053","11,610",248
142,Romania,"19,237,691","230,170",84
143,Russia,"145,934,462","16,376,870",9
144,Rwanda,"12,952,218","24,670",525
145,Saint Kitts and Nevis,"53,199",260,205
146,Saint Lucia,"183,627",610,301
147,Saint Vincent and the Grenadines,"110,940",390,284
148,Samoa,"198,414","2,830",70
149,San Marino,"33,931",60,566
150,Sao Tome and Principe,"219,159",960,228
151,Saudi Arabia,"34,813,871","2,149,690",16
152,Senegal,"16,743,927","192,530",87
153,Serbia,"8,737,371","87,460",100
154,Seychelles,"98,347",460,214
155,Sierra Leone,"7,976,983","72,180",111
156,Singapore,"5,850,342",700,"8,358"
157,Slovakia,"5,459,642","48,088",114
158,Slovenia,"2,078,938","20,140",103
159,Solomon Islands,"686,884","27,990",25
160,Somalia,"15,893,222","627,340",25
161,South Africa,"59,308,690","1,213,090",49
162,South Korea,"51,269,185","97,230",527
163,South Sudan,"11,193,725","610,952",18
164,Spain,"46,754,778","498,800",94
165,Sri Lanka,"21,413,249","62,710",341
166,Sudan,"43,849,260","1,765,048",25
167,Suriname,"586,632","156,000",4
168,Sweden,"10,099,265","410,340",25
169,Switzerland,"8,654,622","39,516",219
170,Syria,"17,500,658","183,630",95
171,Tajikistan,"9,537,645","139,960",68
172,Tanzania,"59,734,218","885,800",67
173,Thailand,"69,799,978","510,890",137
174,Timor-Leste,"1,318,445","14,870",89
175,Togo,"8,278,724","54,390",152
176,Tonga,"105,695",720,147
177,Trinidad and Tobago,"1,399,488","5,130",273
178,Tunisia,"11,818,619","155,360",76
179,Turkey,"84,339,067","769,630",110
180,Turkmenistan,"6,031,200","469,930",13
181,Tuvalu,"11,792",30,393
182,Uganda,"45,741,007","199,810",229
183,Ukraine,"43,733,762","579,320",75
184,United Arab Emirates,"9,890,402","83,600",118
185,United Kingdom,"67,886,011","241,930",281
186,United States of America,"331,002,651","9,147,420",36
187,Uruguay,"3,473,730","175,020",20
188,Uzbekistan,"33,469,203","425,400",79
189,Vanuatu,"307,145","12,190",25
190,Venezuela,"28,435,940","882,050",32
191,Vietnam,"97,338,579","310,070",314
192,Yemen,"29,825,964","527,970",56
193,Zambia,"18,383,955","743,390",25
194,Zimbabwe,"14,862,924","386,850",38
